Page title,Page URL,Scan label,Issue ID,Issue type,Toolkit level,Checkpoint,WCAG level,Rule,Issue,Element,Code,Xpath,Help
Thérapeute en relation d'aide à Montréal et en ligne - Abigaïl Leconte,https://abigailtherapeute.com/,scan_3,756466387,Violation,1,1.1.1 Non-text Content,A,svg_graphics_labelled,The SVG element has no accessible name,svg,"<svg viewBox=""0 0 49.2061 49.1967"" fill=""none"" class=""absolute block size-full"">",/html[1]/body[1]/div[1]/div[1]/header[1]/div[1]/a[1]/div[1]/div[1]/svg[1],https://unpkg.com/accessibility-checker-engine@4.0.12/help/en-US/svg_graphics_labelled.html#%7B%22message%22%3A%22The%20SVG%20element%20has%20no%20accessible%20name%22%2C%22snippet%22%3A%22%3Csvg%20viewBox%3D%5C%220%200%2049.2061%2049.1967%5C%22%20fill%3D%5C%22none%5C%22%20class%3D%5C%22absolute%20block%20size-full%5C%22%3E%22%2C%22value%22%3A%5B%22VIOLATION%22%2C%22FAIL%22%5D%2C%22reasonId%22%3A%22fail_acc_name%22%2C%22ruleId%22%3A%22svg_graphics_labelled%22%2C%22messageArgs%22%3A%5B%5D%7D
Thérapeute en relation d'aide à Montréal et en ligne - Abigaïl Leconte,https://abigailtherapeute.com/,scan_3,250740016,Violation,1,1.1.1 Non-text Content,A,svg_graphics_labelled,The SVG element has no accessible name,svg,"<svg viewBox=""0 0 92.1523 28.1997"" fill=""none"" class=""absolute block size-full"">",/html[1]/body[1]/div[1]/div[1]/header[1]/div[1]/a[1]/div[1]/div[2]/svg[1],https://unpkg.com/accessibility-checker-engine@4.0.12/help/en-US/svg_graphics_labelled.html#%7B%22message%22%3A%22The%20SVG%20element%20has%20no%20accessible%20name%22%2C%22snippet%22%3A%22%3Csvg%20viewBox%3D%5C%220%200%2092.1523%2028.1997%5C%22%20fill%3D%5C%22none%5C%22%20class%3D%5C%22absolute%20block%20size-full%5C%22%3E%22%2C%22value%22%3A%5B%22VIOLATION%22%2C%22FAIL%22%5D%2C%22reasonId%22%3A%22fail_acc_name%22%2C%22ruleId%22%3A%22svg_graphics_labelled%22%2C%22messageArgs%22%3A%5B%5D%7D
Thérapeute en relation d'aide à Montréal et en ligne - Abigaïl Leconte,https://abigailtherapeute.com/,scan_3,1641231377,Violation,1,1.1.1 Non-text Content,A,svg_graphics_labelled,The SVG element has no accessible name,svg,"<svg viewBox=""0 0 65.2376 12.33"" fill=""none"" class=""absolute block size-full"">",/html[1]/body[1]/div[1]/div[1]/header[1]/div[1]/a[1]/div[1]/div[3]/svg[1],https://unpkg.com/accessibility-checker-engine@4.0.12/help/en-US/svg_graphics_labelled.html#%7B%22message%22%3A%22The%20SVG%20element%20has%20no%20accessible%20name%22%2C%22snippet%22%3A%22%3Csvg%20viewBox%3D%5C%220%200%2065.2376%2012.33%5C%22%20fill%3D%5C%22none%5C%22%20class%3D%5C%22absolute%20block%20size-full%5C%22%3E%22%2C%22value%22%3A%5B%22VIOLATION%22%2C%22FAIL%22%5D%2C%22reasonId%22%3A%22fail_acc_name%22%2C%22ruleId%22%3A%22svg_graphics_labelled%22%2C%22messageArgs%22%3A%5B%5D%7D
Thérapeute en relation d'aide à Montréal et en ligne - Abigaïl Leconte,https://abigailtherapeute.com/,scan_3,3490679503,Violation,1,1.1.1 Non-text Content,A,svg_graphics_labelled,The SVG element has no accessible name,svg,"<svg viewBox=""0 0 72.178 72.154"" preserveAspectRatio=""none"" fill=""none"" class=""absolute block size-full"">",/html[1]/body[1]/div[1]/div[1]/main[1]/section[1]/div[1]/div[2]/div[1]/div[1]/div[1]/div[1]/div[1]/div[1]/svg[1],https://unpkg.com/accessibility-checker-engine@4.0.12/help/en-US/svg_graphics_labelled.html#%7B%22message%22%3A%22The%20SVG%20element%20has%20no%20accessible%20name%22%2C%22snippet%22%3A%22%3Csvg%20viewBox%3D%5C%220%200%2072.178%2072.154%5C%22%20preserveAspectRatio%3D%5C%22none%5C%22%20fill%3D%5C%22none%5C%22%20class%3D%5C%22absolute%20block%20size-full%5C%22%3E%22%2C%22value%22%3A%5B%22VIOLATION%22%2C%22FAIL%22%5D%2C%22reasonId%22%3A%22fail_acc_name%22%2C%22ruleId%22%3A%22svg_graphics_labelled%22%2C%22messageArgs%22%3A%5B%5D%7D
Thérapeute en relation d'aide à Montréal et en ligne - Abigaïl Leconte,https://abigailtherapeute.com/,scan_3,3484017996,Violation,1,1.1.1 Non-text Content,A,svg_graphics_labelled,The SVG element has no accessible name,svg,"<svg viewBox=""0 0 86.82 86.791"" preserveAspectRatio=""none"" fill=""none"" class=""absolute block size-full"">",/html[1]/body[1]/div[1]/div[1]/main[1]/section[1]/div[1]/div[2]/div[1]/div[1]/div[1]/div[1]/div[1]/div[2]/svg[1],https://unpkg.com/accessibility-checker-engine@4.0.12/help/en-US/svg_graphics_labelled.html#%7B%22message%22%3A%22The%20SVG%20element%20has%20no%20accessible%20name%22%2C%22snippet%22%3A%22%3Csvg%20viewBox%3D%5C%220%200%2086.82%2086.791%5C%22%20preserveAspectRatio%3D%5C%22none%5C%22%20fill%3D%5C%22none%5C%22%20class%3D%5C%22absolute%20block%20size-full%5C%22%3E%22%2C%22value%22%3A%5B%22VIOLATION%22%2C%22FAIL%22%5D%2C%22reasonId%22%3A%22fail_acc_name%22%2C%22ruleId%22%3A%22svg_graphics_labelled%22%2C%22messageArgs%22%3A%5B%5D%7D
Thérapeute en relation d'aide à Montréal et en ligne - Abigaïl Leconte,https://abigailtherapeute.com/,scan_3,3355436142,Violation,1,1.1.1 Non-text Content,A,svg_graphics_labelled,The SVG element has no accessible name,svg,"<svg viewBox=""0 0 481.795 549.495"" preserveAspectRatio=""none"" fill=""none"" class=""block size-full"">",/html[1]/body[1]/div[1]/div[1]/main[1]/section[1]/div[1]/div[2]/div[1]/div[1]/div[1]/div[1]/div[1]/div[3]/div[1]/svg[1],https://unpkg.com/accessibility-checker-engine@4.0.12/help/en-US/svg_graphics_labelled.html#%7B%22message%22%3A%22The%20SVG%20element%20has%20no%20accessible%20name%22%2C%22snippet%22%3A%22%3Csvg%20viewBox%3D%5C%220%200%20481.795%20549.495%5C%22%20preserveAspectRatio%3D%5C%22none%5C%22%20fill%3D%5C%22none%5C%22%20class%3D%5C%22block%20size-full%5C%22%3E%22%2C%22value%22%3A%5B%22VIOLATION%22%2C%22FAIL%22%5D%2C%22reasonId%22%3A%22fail_acc_name%22%2C%22ruleId%22%3A%22svg_graphics_labelled%22%2C%22messageArgs%22%3A%5B%5D%7D
Thérapeute en relation d'aide à Montréal et en ligne - Abigaïl Leconte,https://abigailtherapeute.com/,scan_3,957202281,Violation,1,1.1.1 Non-text Content,A,svg_graphics_labelled,The SVG element has no accessible name,svg,"<svg viewBox=""0 0 223.697 443.248"" preserveAspectRatio=""none"" fill=""none"" class=""block size-full"">",/html[1]/body[1]/div[1]/div[1]/main[1]/section[1]/div[1]/div[2]/div[1]/div[1]/div[1]/div[1]/div[1]/div[4]/div[1]/svg[1],https://unpkg.com/accessibility-checker-engine@4.0.12/help/en-US/svg_graphics_labelled.html#%7B%22message%22%3A%22The%20SVG%20element%20has%20no%20accessible%20name%22%2C%22snippet%22%3A%22%3Csvg%20viewBox%3D%5C%220%200%20223.697%20443.248%5C%22%20preserveAspectRatio%3D%5C%22none%5C%22%20fill%3D%5C%22none%5C%22%20class%3D%5C%22block%20size-full%5C%22%3E%22%2C%22value%22%3A%5B%22VIOLATION%22%2C%22FAIL%22%5D%2C%22reasonId%22%3A%22fail_acc_name%22%2C%22ruleId%22%3A%22svg_graphics_labelled%22%2C%22messageArgs%22%3A%5B%5D%7D
Thérapeute en relation d'aide à Montréal et en ligne - Abigaïl Leconte,https://abigailtherapeute.com/,scan_3,957256936,Violation,1,1.1.1 Non-text Content,A,svg_graphics_labelled,The SVG element has no accessible name,svg,"<svg viewBox=""0 0 296.807 297.411"" preserveAspectRatio=""none"" fill=""none"" class=""block size-full"">",/html[1]/body[1]/div[1]/div[1]/main[1]/section[1]/div[1]/div[2]/div[1]/div[1]/div[1]/div[1]/div[1]/div[5]/div[1]/svg[1],https://unpkg.com/accessibility-checker-engine@4.0.12/help/en-US/svg_graphics_labelled.html#%7B%22message%22%3A%22The%20SVG%20element%20has%20no%20accessible%20name%22%2C%22snippet%22%3A%22%3Csvg%20viewBox%3D%5C%220%200%20296.807%20297.411%5C%22%20preserveAspectRatio%3D%5C%22none%5C%22%20fill%3D%5C%22none%5C%22%20class%3D%5C%22block%20size-full%5C%22%3E%22%2C%22value%22%3A%5B%22VIOLATION%22%2C%22FAIL%22%5D%2C%22reasonId%22%3A%22fail_acc_name%22%2C%22ruleId%22%3A%22svg_graphics_labelled%22%2C%22messageArgs%22%3A%5B%5D%7D
Thérapeute en relation d'aide à Montréal et en ligne - Abigaïl Leconte,https://abigailtherapeute.com/,scan_3,185368393,Violation,1,1.1.1 Non-text Content,A,svg_graphics_labelled,The SVG element has no accessible name,svg,"<svg viewBox=""0 0 103.241 103.206"" preserveAspectRatio=""none"" fill=""none"" class=""absolute block size-full"">",/html[1]/body[1]/div[1]/div[1]/main[1]/section[1]/div[1]/div[2]/div[1]/div[1]/div[1]/div[1]/div[1]/div[7]/svg[1],https://unpkg.com/accessibility-checker-engine@4.0.12/help/en-US/svg_graphics_labelled.html#%7B%22message%22%3A%22The%20SVG%20element%20has%20no%20accessible%20name%22%2C%22snippet%22%3A%22%3Csvg%20viewBox%3D%5C%220%200%20103.241%20103.206%5C%22%20preserveAspectRatio%3D%5C%22none%5C%22%20fill%3D%5C%22none%5C%22%20class%3D%5C%22absolute%20block%20size-full%5C%22%3E%22%2C%22value%22%3A%5B%22VIOLATION%22%2C%22FAIL%22%5D%2C%22reasonId%22%3A%22fail_acc_name%22%2C%22ruleId%22%3A%22svg_graphics_labelled%22%2C%22messageArgs%22%3A%5B%5D%7D
Thérapeute en relation d'aide à Montréal et en ligne - Abigaïl Leconte,https://abigailtherapeute.com/,scan_3,1898105286,Violation,1,1.1.1 Non-text Content,A,svg_graphics_labelled,The SVG element has no accessible name,svg,"<svg viewBox=""0 0 86.821 86.791"" preserveAspectRatio=""none"" fill=""none"" class=""absolute block size-full"">",/html[1]/body[1]/div[1]/div[1]/main[1]/section[1]/div[1]/div[2]/div[1]/div[1]/div[1]/div[1]/div[1]/div[8]/svg[1],https://unpkg.com/accessibility-checker-engine@4.0.12/help/en-US/svg_graphics_labelled.html#%7B%22message%22%3A%22The%20SVG%20element%20has%20no%20accessible%20name%22%2C%22snippet%22%3A%22%3Csvg%20viewBox%3D%5C%220%200%2086.821%2086.791%5C%22%20preserveAspectRatio%3D%5C%22none%5C%22%20fill%3D%5C%22none%5C%22%20class%3D%5C%22absolute%20block%20size-full%5C%22%3E%22%2C%22value%22%3A%5B%22VIOLATION%22%2C%22FAIL%22%5D%2C%22reasonId%22%3A%22fail_acc_name%22%2C%22ruleId%22%3A%22svg_graphics_labelled%22%2C%22messageArgs%22%3A%5B%5D%7D
